Energy,Probability
2.151447784894559e-17,0.9999999999999997
8.605791139578236e-17,1.329893105717513e-32
1.9363030064051033e-16,5.042593488002554e-32
3.4423164558312946e-16,1.2401221989566732e-32
5.378619462236398e-16,1.4007204133340429e-33
7.745212025620413e-16,1.089455840239846e-34
1.0542094145983339e-15,1.1663186066651748e-31
1.3769265823325178e-15,1.812358144467483e-34
1.7426727057645923e-15,5.958533320784268e-33
2.151447784894559e-15,2.229069550998713e-31
2.603251819722416e-15,6.863530025336811e-32
3.0980848102481654e-15,2.6299962109439717e-31
3.6359467564718054e-15,1.7727867731258978e-31
4.2168376583933354e-15,2.45024245120908e-32
4.840757516012757e-15,1.29755445593224e-33
5.507706329330071e-15,7.651196305662464e-32
6.217684098345277e-15,7.29874381461885e-32
6.970690823058369e-15,1.5043222586439897e-30
7.766726503469356e-15,3.625208265655585e-32
8.605791139578237e-15,1.0596035162757513e-32
9.487884731385004e-15,5.126664136091462e-32
1.0413007278889664e-14,3.664468912052685e-31
1.1381158782092216e-14,4.754875063412102e-31
1.2392339240992661e-14,1.4446661658289239e-30
1.3446548655590995e-14,1.8023428603446549e-31
1.4543787025887222e-14,4.018547361421528e-31
1.5684054351881335e-14,9.533053145624621e-32
1.6867350633573342e-14,3.628551913821204e-30
1.809367587096324e-14,7.275060135710189e-29
1.9363030064051027e-14,1.344845824868558e-29
2.067541321283671e-14,1.353759748436652e-31
2.2030825317320285e-14,4.697774309988005e-31
2.342926637750175e-14,7.374151754540295e-33
2.487073639338111e-14,3.8188118661577115e-34
2.6355235364958348e-14,2.9753718095621735e-31
2.7882763292233476e-14,1.635258056316479e-30
2.945332017520651e-14,1.166644617184663e-31
3.106690601387742e-14,6.904092370230631e-31
3.272352080824623e-14,2.9056117071163267e-31
3.4423164558312947e-14,1.14933079576262e-30
3.616583726407752e-14,3.7341929096901995e-33
3.795153892554002e-14,2.406008367655551e-30
3.97802695427004e-14,4.1874101446551036e-31
4.1652029115558655e-14,1.7512101943739485e-30
4.3566817644114815e-14,1.206527038743116e-31
4.5524635128368864e-14,2.378754511600195e-30
4.7525481568320816e-14,2.284163392356305e-31
4.9569356963970646e-14,7.196265429620512e-34
5.1656261315318346e-14,7.491153017702361e-32
5.378619462236398e-14,1.449811233660395e-29
5.5959156885107486e-14,2.1300674222872025e-31
5.817514810354889e-14,2.9110715081870502e-31
6.043416827768815e-14,5.302926316648584e-32
6.273621740752534e-14,1.7032675413823345e-29
6.508129549306042e-14,1.0329129285042233e-32
6.746940253429337e-14,1.3099450955324523e-29
6.990053853122421e-14,1.281155463308657e-29
7.237470348385296e-14,8.742806053208294e-32
7.48918973921796e-14,9.16126407294526e-31
7.745212025620411e-14,2.4129356678342404e-29
8.005537207592654e-14,1.1093896649374145e-29
8.270165285134684e-14,4.892625173107809e-29
8.539096258246505e-14,9.632614383175225e-32
8.812330126928114e-14,5.4277020583848925e-30
9.089866891179509e-14,9.45773250927148e-30
9.3717065510007e-14,1.5013718175031466e-30
9.657849106391677e-14,7.14532916020035e-32
9.948294557352444e-14,4.882612890081343e-31
1.0243042903882995e-13,1.827141524259642e-27
1.0542094145983339e-13,4.311210261799208e-32
1.0845448283653473e-13,2.027428837394125e-35
1.115310531689339e-13,8.059205142811793e-31
1.1465065245703103e-13,1.7720680723497734e-30
1.1781328070082604e-13,1.1124734966366024e-30
1.2101893790031896e-13,1.2155453732206349e-30
1.242676240555097e-13,1.9874831482206667e-31
1.275593391663984e-13,9.33446442219693e-31
1.3089408323298492e-13,1.4561624228936361e-29
1.3427185625526942e-13,2.586006170145568e-32
1.3769265823325179e-13,2.0395227490330714e-29
1.41156489166932e-13,1.0858743348688044e-32
1.4466334905631009e-13,3.6336047178308694e-28
1.4821323790138622e-13,1.802342860344655e-33
1.5180615570216007e-13,2.5121940135710626e-29
1.554421024586319e-13,1.1430807285468184e-30
1.591210781708016e-13,1.563230892035706e-29
1.6284308283866913e-13,1.2539037061826509e-31
1.6660811646223462e-13,6.716243309971923e-29
1.70416179041498e-13,8.971398465530705e-31
1.7426727057645926e-13,1.1399219027881363e-30
1.781613910671184e-13,1.3201826564225563e-30
1.8209854051347546e-13,1.0786230490422582e-29
1.8607871891553043e-13,9.503285628600076e-32
1.9010192627328327e-13,5.1180652841319454e-30
1.9416816258673395e-13,4.181168818763458e-31
1.9827742785588258e-13,1.5017017074288073e-29
2.02429722080729e-13,1.2915158470642714e-30
2.0662504526127338e-13,4.9102780937346246e-30
2.1086339739751578e-13,7.485039699116138e-33
2.1514477848945592e-13,1.3811568695460324e-29
2.1946918853709403e-13,3.0370907258219524e-31
2.2383662754042994e-13,1.7809698413981662e-30
2.282470954994637e-13,2.7487254525521757e-31
2.3270059241419555e-13,1.7418285156872662e-29
2.3719711828462517e-13,1.9919217378600803e-30
2.417366731107526e-13,8.79578481898502e-29
2.4631925689257805e-13,5.403382958835602e-32
2.5094486963010136e-13,2.4273939730516076e-28
2.556135113233224e-13,3.617863594371384e-30
2.6032518197224167e-13,3.727496584198104e-31
2.6507988157685857e-13,1.6188408969135934e-31
2.6987761013717347e-13,3.780906725928899e-29
2.7471836765318626e-13,5.725790045590788e-32
2.7960215412489684e-13,7.038884591006984e-30
2.845289695523055e-13,2.255917998563507e-32
2.8949881393541186e-13,1.5040877284863452e-31
2.9451168727421613e-13,4.057319811262846e-29
2.995675895687184e-13,4.876320726857851e-30
3.0466652081891847e-13,1.1056167567677257e-29
3.0980848102481644e-13,2.0023872270969405e-29
3.149934701864124e-13,6.625032897011575e-31
3.2022148830370615e-13,9.432707967522954e-31
3.2549253537669786e-13,8.94486353541528e-30
3.3080661140538736e-13,1.5430327021109844e-29
3.3616371638977475e-13,1.6437165494647737e-29
3.415638503298602e-13,2.1278948504998075e-31
3.4700701322564343e-13,5.591231099355032e-29
3.5249320507712456e-13,3.56769120979573e-29
3.580224258843035e-13,6.832257782641431e-29
3.6359467564718037e-13,1.3322132566666112e-29
3.6920995436575534e-13,1.9920011749430775e-28
3.74868262040028e-13,2.0974709310760017e-29
3.8056959866999847e-13,4.1925627427156977e-29
3.863139642556671e-13,1.6269228413608964e-28
3.921013587970333e-13,5.724635710621574e-28
3.9793178229409774e-13,2.668150017124894e-29
4.038052347468598e-13,1.120397045455747e-27
4.097217161553198e-13,8.86061159429769e-30
4.156812265194778e-13,2.5032220516872468e-29
4.2168376583933356e-13,4.407488604102718e-32
4.277293341148872e-13,8.418215146094683e-27
4.3381793134613893e-13,3.4898706551693035e-30
4.3994955753308835e-13,2.383598432805806e-31
4.461242126757356e-13,1.5338604765801918e-30
4.5234189677408104e-13,1.0377399045875166e-30
4.586026098281241e-13,1.0553380739685891e-28
4.649063518378653e-13,1.4848461144304183e-32
4.712531228033042e-13,2.756177579120504e-29
4.77642922724441e-13,4.1511234369921835e-30
4.840757516012758e-13,1.0562227802601898e-30
4.905516094338085e-13,6.09687529997612e-25
4.970704962220388e-13,3.740691714726751e-29
5.036324119659672e-13,7.489392568141973e-26
5.102373566655936e-13,4.4026532201874994e-29
5.168853303209178e-13,7.552899087026927e-32
5.235763329319397e-13,1.2628927202038128e-29
5.303103644986597e-13,2.0506776793652763e-32
5.370874250210777e-13,4.8368893533888506e-29
5.439075144991935e-13,3.483065850507364e-33
5.507706329330071e-13,3.622485884204826e-29
5.576767803225186e-13,4.317388570701739e-24
5.64625956667728e-13,1.8331792655896387e-28
5.716181619686354e-13,2.0300044995395902e-32
5.786533962252403e-13,1.1924279549309388e-27
5.857316594375435e-13,4.47201208395816e-31
5.928529516055449e-13,5.713858194708762e-29
6.000172727292438e-13,2.44397528279328e-23
6.072246228086403e-13,3.663307600411287e-29
6.144750018437351e-13,4.633680591245145e-31
6.217684098345276e-13,1.7986259462677046e-29
6.291048467810178e-13,2.9331128483333564e-34
6.364843126832064e-13,1.1568959049119982e-28
6.439068075410926e-13,1.34412558891479e-30
6.513723313546765e-13,7.198181237955005e-29
6.588808841239586e-13,5.003094999108615e-31
6.664324658489385e-13,1.1267504214845895e-28
6.740270765296164e-13,1.1125122930863016e-30
6.81664716165992e-13,3.378401504501895e-29
6.893453847580658e-13,8.31812475468609e-31
6.97069082305837e-13,4.6301926375574805e-29
7.048358088093064e-13,3.6065709838375e-31
7.126455642684736e-13,3.7590198239070125e-29
7.204983486833387e-13,3.7834886523086e-33
7.283941620539018e-13,3.8468749199174155e-28
7.363330043801627e-13,2.3938158078342054e-31
7.443148756621217e-13,2.1486586661292197e-28
7.523397758997783e-13,2.3490037619100428e-30
7.604077050931331e-13,1.1294826381591847e-28
7.685186632421856e-13,2.8243887589666684e-30
7.766726503469358e-13,1.703534758580051e-28
7.848696664073841e-13,3.1817705318405746e-30
7.931097114235303e-13,9.016601807977105e-29
8.013927853953741e-13,1.6488433525986968e-30
8.09718888322916e-13,6.953294783959406e-29
8.18088020206156e-13,2.4696813092223803e-32
8.265001810450935e-13,3.4147039690048244e-28
8.349553708397293e-13,9.279430933537475e-30
8.434535895900631e-13,7.570716454915388e-30
8.519948372960943e-13,8.691826954730124e-33
8.605791139578237e-13,4.4336199554503373e-32
